,Time.ka.BP,MIS.or.peak.age,is.0..ig.1..c.ig.2,filled.0.or.Open.1,Caloric.summer.insolation.at.65N.GJm.2,Elapsed.time.ka,Effective.energy.GJm.2
94,449,449,0,0,5.909053506,37,5.987012506
95,410,11c,1,0,5.983592402,76,6.143724402
96,372,11a,0,0,5.991758652,38,6.071824652
97,334,9e,1,0,6.088749544,76,6.248881544
98,313,9c,0,0,5.857436225,21,5.901683225
99,292,9a,0,0,6.047165047,42,6.135659047
100,260,260,0,0,5.900874815,74,6.056792815
101,244,7e,1,0,6.014096509,90,6.203726509
102,218,7c,1,0,6.091228265,26,6.146010265
103,201,7a,2,0,5.950961019,17,5.986780019
104,175,6e,0,0,6.04524351,43,6.13584451
105,152,152,0,0,5.823121997,66,5.962183997
106,128,5e,1,0,6.107978119,90,6.297608119
107,103,5c,0,0,5.941074591,25,5.993749591
108,85,5a,0,0,6.01663913,43,6.10724013
109,51,3,0,0,5.971383085,77,6.133622085
110,10,1,1,0,6.045082275,118,6.293708275
