"","Age.ka.BP","Smoothed.LR04.d18O","Detrended.smoothed.d18O"
"1165",2535,3.73,4.07117519455335
"1166",2537.5,3.74,4.08199928922618
"1167",2540,3.63,3.97282338389901
"1168",2542.5,3.35,3.69364747857185
"1169",2545,3.27,3.61447157324468
"1170",2547.5,3.18,3.52529566791752
"1171",2550,3.21,3.55611976259035
"1172",2552.5,3.28,3.62694385726318
"1173",2555,3.43,3.77776795193602
"1174",2557.5,3.39,3.73859204660885
"1175",2560,3.37,3.71941614128169
"1176",2562.5,3.38,3.73024023595452
"1177",2565,3.63,3.98106433062736
"1178",2567.5,3.53,3.88188842530019
"1179",2570,3.47,3.82271251997302
"1180",2572.5,3.47,3.82353661464586
"1181",2575,3.41,3.76436070931869
"1182",2577.5,3.32,3.67518480399153
"1183",2580,3.23,3.58600889866436
"1184",2582.5,3.26,3.61683299333719
"1185",2585,3.16,3.51765708801003
"1186",2587.5,3.27,3.62848118268286
"1187",2590,3.43,3.7893052773557
"1188",2592.5,3.45,3.81012937202853
"1189",2595,3.47,3.83095346670137
"1190",2597.5,3.74,4.1017775613742
"1191",2600,3.9,4.26260165604703
"1192",2602.5,3.86,4.22342575071987
"1193",2605,3.81,4.1742498453927
"1194",2607.5,3.85,4.21507394006554
"1195",2610,3.62,3.98589803473837
"1196",2612.5,3.64,4.00672212941121
"1197",2615,3.44,3.80754622408404
"1198",2617.5,3.45,3.81837031875687
"1199",2620,3.27,3.63919441342971
"1200",2622.5,3.24,3.61001850810254
"1201",2625,3.31,3.68084260277538
"1202",2627.5,3.26,3.63166669744821
"1203",2630,3.23,3.60249079212104
"1204",2632.5,3.44,3.81331488679388
"1205",2635,3.45,3.82413898146671
"1206",2637.5,3.48,3.85496307613955
"1207",2640,3.66,4.03578717081238
"1208",2642.5,3.72,4.09661126548522
"1209",2645,3.84,4.21743536015805
"1210",2647.5,3.69,4.06825945483088
"1211",2650,3.51,3.88908354950372
"1212",2652.5,3.41,3.78990764417655
"1213",2655,3.35,3.73073173884939
