"","Time.ka.BP","MIS.or.peak.age","is.0..ig.1..c.ig.2","filled.0.or.Open.1","Summer.solstice.insolation.at.65N.Wm.2","Elapsed.time.ka","Effective.energy.Wm.2"
"91",693,"17",1,0,540.335845859779,95,594.960845859779
"92",671,"671",0,0,524.79044860019,22,537.44044860019
"93",650,"650",0,0,509.149666203581,43,533.874666203581
"94",621,"15e",1,0,539.819494343839,72,581.219494343839
"95",600,"600",0,0,532.681225584925,21,544.756225584925
"96",578,"15a",1,0,552.420117856432,43,577.145117856432
"97",556,"556",0,0,506.002148939667,22,518.652148939667
"98",531,"531",0,0,517.462253704102,47,544.487253704102
"99",505,"505",0,0,524.94899547344,73,566.92399547344
"100",486,"13a",1,0,530.651011458617,92,583.551011458617
"101",464,"464",0,0,516.948414563881,22,529.598414563881
"102",447,"447",0,0,504.0541127054,39,526.4791127054
"103",426,"426",0,0,502.189857748933,60,536.689857748933
"104",410,"11c",1,0,518.696588224932,76,562.396588224932
"105",388,"388",0,0,496.515894185316,22,509.165894185315
"106",372,"372",0,0,515.175634714038,38,537.025634714038
"107",356,"356",0,0,497.14588327763,54,528.19588327763
"108",334,"9e",1,0,542.559888028368,76,586.259888028368
"109",313,"313",0,0,518.550689826732,21,530.625689826732
"110",291,"291",0,0,538.037807661312,43,562.762807661312
"111",265,"265",0,0,507.802849651588,69,547.477849651588
"112",243,"7e",1,0,536.487017973164,91,588.812017973164
"113",220,"7c",1,0,554.667015824329,23,567.892015824329
"114",198,"198",2,0,535.214144175885,22,547.864144175885
"115",175,"175",0,0,541.21582170998,45,567.09082170998
"116",151,"151",0,0,508.168550056913,69,547.843550056913
"117",127,"5e",1,0,551.656494314374,93,605.131494314374
"118",105,"105",0,0,530.890964366432,22,543.540964366432
"119",84,"84",0,0,531.957031237316,43,556.682031237316
"120",58,"58",0,0,514.087018671522,69,553.762018671522
"121",38,"38",0,0,500.176139059592,89,551.351139059592
"122",11,"1",1,0,529.783584793022,116,596.483584793022
